"Title","Company","Location","Created","Category","Description","URL","Latitude","Longitude"
"Embedded Engineer","7Semi","Navi Mumbai, Maharashtra","2025-07-14T09:35:21Z","Engineering Jobs","Location: Juinagar, Navi Mumbai (Onsite) Job Type: Full-Time At 7Semi, we build high-performance embedded systems and IoT hardware for modern applications. Our team combines expertise in electronics, firmware, and system design to deliver innovative solutions. We’re seeking a talented Embedded Engineer with strong skills in PCB design, testing, and technical documentation to join us. Key Responsibilities Design and develop embedded systems, including firmware and hardware integration. Work on P…","https://www.adzuna.in/details/5301587707?utm_medium=api&utm_source=c8890522","19.02","73.02"
"Embedded Firmware Engineer","Themesoft Inc.","Hyderabad, Telangana","2025-07-20T07:57:28Z","IT Jobs","Greetings from Themesoft! We are looking for experienced Embedded Firmware Developers to join our team!  Job Location: Hyderabad  Experience Required: 6 to 9 years  Notice Period: Immediate to 30 days Job Description: ✅ 5 years of experience in embedded software development and should have handled projects ✅ Firmware/Autosar experience is mandate ✅ Responsible for developing Embedded Software for automotive ECUs and applications. ✅ Excellent programming skills in C and embedded C ✅ Experience i…","https://www.adzuna.in/details/5313125788?utm_medium=api&utm_source=c8890522","17.40275","78.50806"
"Engineer - Embedded SW Development","GE Vernova","Hyderabad, Telangana","2025-07-20T02:35:08Z","IT Jobs","Job Description Summary Firmware Engineer will participate in embedded firmware development for the MarkVIe platforms. You will work in a global environment with a skilled cross functional team of engineers creating and improving state-of-the-art platform for use in every kind of power generation application. Job Description Essential Responsibilities: Designing and implementing software of embedded devices and systems Designing, developing, coding, testing and debugging system software Analyzi…","https://www.adzuna.in/details/5312882553?utm_medium=api&utm_source=c8890522","17.40275","78.50806"
"Sr. Engineer - Model Based Development","AGCO Corporation","Pune, Maharashtra","2025-07-12T10:40:21Z","Engineering Jobs","Sr. Engineer - Model Based Development Date: Jul 10, 2025 Req ID: 101309 Location: Pune, MH, IN Workplace Type: Hybrid/Remote Do you want to help solve the world's most pressing challenges? Feeding the world's growing population and slowing climate change are two of the world's greatest challenges. AGCO is a part of the solution! Join us to make your contribution. AGCO is looking to hire candidates for the position of Sr. Engineer - Model-based Development (MBD) The Senior Software Engineer - M…","https://www.adzuna.in/land/ad/5299199050?se=dL12H8Bn8BGmlq-E_wGoOg&utm_medium=api&utm_source=c8890522&v=157E2E585EDE5F714880704E78150C60663B74AB","18.5062","73.84735"
"Open BMC Developer","IBM","Bangalore, Karnataka","2025-07-09T04:02:24Z","IT Jobs","Introduction At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk. Your role and responsibilities The key responsibilities for this role as following: - As Firmware d…","https://www.adzuna.in/land/ad/5292690132?se=dL12H8Bn8BGmlq-E_wGoOg&utm_medium=api&utm_source=c8890522&v=02ED29A6CED9E068BDF3036EDA4B5057F0DC6624","12.95703","77.59837"
"Firmware Developer","IBM","Hyderabad, Telangana","2025-07-18T11:44:35Z","IT Jobs","Introduction At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk. Your role and responsibilities IBM ISDL Power hypervisor development group is working on virtualisa…","https://www.adzuna.in/land/ad/5309607132?se=dL12H8Bn8BGmlq-E_wGoOg&utm_medium=api&utm_source=c8890522&v=9596A22CB2C6CE1BB2E466C9570CC04F2AD10F76","17.40275","78.50806"
"Firmware Engineer","Zydus Group","Ahmedabad, Gujarat","2025-07-07T09:15:20Z","IT Jobs","Job Title: Embedded Firmware Architect Company – Zydus Medtech Pvt Ltd Location - Ahmedabad Key Roles & Responsibilities Design, develop, and maintain embedded firmware for microcontrollers and embedded systems. Experience working in 16/32-bit Micro-controllers/Microprocessor with strong understanding of controller architecture and peripherals. Collaborate with hardware engineers to integrate firmware with hardware components. Develop and debug low-level drivers for peripherals such as UART, SP…","https://www.adzuna.in/details/5289688857?utm_medium=api&utm_source=c8890522","23.042","72.59465"
"Weekend Drive -2nd August - Digital IT Positions","Flowserve Corporation","Bangalore, Karnataka","2025-07-17T02:31:00Z","Engineering Jobs","We are having weekend drive for Digital team for Bangalore location. Join our Flowserve Digital Team to drive innovation in product development with exciting opportunities across full stack development, embedded systems, firmware engineering, device integration, and product validation. Below are the open requisitions : Required Experience : 5 years onwards 1. R-14815 – Java Full Stack Developer (Senior) Opportunity for experienced Full Stack Developers to contribute to software solutions in Dig…","https://www.adzuna.in/details/5307273114?utm_medium=api&utm_source=c8890522","12.9881567","77.6226000"
"Embedded Firmware Engineer","Quintrans","Pune, Maharashtra","2025-07-21T08:03:27Z","Engineering Jobs","About Us: We are building next generation of motors and control systems for applications in robotics, electric vehicles, automation, and industrial motion. Our focus is on creating cost-efficient, high-performance linear and rotary actuators for OEMs across India and globally. We’re looking for a hands-on embedded systems engineer with deep experience in PMSM and BLDC motor control, who thrives in fast-paced development cycles and wants to make a meaningful impact on real-world motion systems. …","https://www.adzuna.in/details/5314143881?utm_medium=api&utm_source=c8890522","18.5062","73.84735"
"Firmware Developer","IBM","Hyderabad, Telangana","2025-07-18T11:44:35Z","IT Jobs","Introduction At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk. Your role and responsibilities IBM ISDL Power hypervisor development group is working on virtualisa…","https://www.adzuna.in/land/ad/5309607214?se=dL12H8Bn8BGmlq-E_wGoOg&utm_medium=api&utm_source=c8890522&v=263B8452AC0145B5332A4DA38AC4281307935E4C","17.40275","78.50806"
"Firmware Developer","IBM","Hyderabad, Telangana","2025-06-26T23:40:40Z","IT Jobs","Introduction IBM is a global technology and innovation company. It is the largest technology and consulting employer in the world, with presence in 170 countries. The diversity and breadth of the entire IBM portfolio of research, consulting, solutions, services, systems and software, uniquely distinguishes IBM from other companies in the industry. Over the past 100 years, a lot has changed at IBM, in this new era of Cognitive Business, IBM is helping to reshape industries as diverse as healthca…","https://www.adzuna.in/land/ad/5269948425?se=dL12H8Bn8BGmlq-E_wGoOg&utm_medium=api&utm_source=c8890522&v=5D88CD642D7EA89DDB3253960A4E938FEB10F3AF","17.40275","78.50806"
"Firmware Engineer","Sparsh CCTV","Noida, Ghaziabad","2025-07-20T07:58:12Z","IT Jobs","Technical Know-How: Proficient in Embedded C/C++ programming. Strong understanding of Embedded RTOS, Linux, or bare-metal development. Experience with IP camera firmware and streaming protocols (RTSP, RTSPS, ONVIF). Knowledge of video encoding standards (H.264, H.265). Familiarity with cybersecurity standards and secure firmware practices (TLS, SSL, encryption). Experienced with Microcontrollers (STM32, ESP32, ARM-based SoC). Hardware interfacing: UART, I2C, SPI, RS485, Ethernet. Understanding …","https://www.adzuna.in/details/5313128443?utm_medium=api&utm_source=c8890522","28.56579","77.3225"
"Lead Firmware Developer","Weekday AI","India","2025-06-30T20:32:53Z","IT Jobs","This role is for one of Weekday’s clients Min Experience: 7 years JobType: full-time Requirements Requirements: Minimum 7 years working in Embedded Firmware development. Programming: Strong knowledge of Embedded C, C++, Data Structures, RTOS, and Microprocessors. Operating Systems: Experience with QNX and Linux. Memory Handling: Expertise in working with NAND, NOR, and DDR4. Communication Protocols: Hands-on experience with UART, I2C, SPI, Ethernet, and Multithreading. Debugging & Development T…","https://www.adzuna.in/details/5275825548?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Tech Lead - Firmware","Resideo","India","2025-07-02T20:28:30Z","Engineering Jobs","Description We are looking for an Embedded Developer to design, develop, and optimize custom RTOS solutions for embedded systems. This role involves working closely with hardware, firmware, and application teams to deliver optimized embedded platforms. You will use your experience and technical skills to design and implement features targeted for the North American and European residential markets. Partner with world-class engineers and leaders, using your strategic thinking to anticipate probl…","https://www.adzuna.in/details/5280021575?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
