"Title","Company","Location","Created","Category","Description","URL","Latitude","Longitude"
"Software Development Engineer","Delta Air Lines","Bangalore, Karnataka","2025-07-15T08:31:06Z","IT Jobs","About Delta Tech Hub: Delta Air Lines (NYSE: DAL) is the U.S. global airline leader in safety, innovation, reliability and customer experience. Powered by our employees around the world, Delta has for a decade led the airline industry in operational excellence while maintaining our reputation for award-winning customer service. With our mission of connecting the people and cultures of the globe, Delta strives to foster understanding across a diverse world and serve as a force for social good. D…","https://www.adzuna.in/land/ad/5303060597?se=WFlZM71n8BGKI6JUBKSKRg&utm_medium=api&utm_source=c8890522&v=C17CEB8328A1884350495E49FB2BFF3CCC003496","12.9881567","77.6226000"
"Principal Engineer, Systems Design Verification Engineering- Advanced Python with thorough OOPS and Design concepts, Tools Development in Validation Environment, Strong Memory Concepts (Nand, SSD)","SanDisk","Bangalore, Karnataka","2025-07-04T02:17:44Z","IT Jobs","Company Description Sandisk understands how people and businesses consume data and we relentlessly innovate to deliver solutions that enable today's needs and tomorrow's next big ideas. With a rich history of groundbreaking innovations in Flash and advanced memory technologies, our solutions have become the beating heart of the digital world we're living in and that we have the power to shape. Sandisk meets people and businesses at the intersection of their aspirations and the moment, enabling …","https://www.adzuna.in/land/ad/5282461966?se=WFlZM71n8BGKI6JUBKSKRg&utm_medium=api&utm_source=c8890522&v=F2D10A6F62E97E357E0D34FEF86F324EB95F235F","12.9881567","77.6226000"
"Principal Automotive Embedded Product Development Architect","Confidential","Bangalore, Karnataka","2025-07-20T07:58:50Z","IT Jobs","15 to 20 years of experience in Automotive product development Strong experience in Product development life cycle Strong experience in Automotive processes like ASPICE, safety, security Good experience in PDLC, SDLC and HDLC Good experience in Quality processes across System, Software and Hardware life cycles Hands on experience in Embedded system development activities Good experience in Product development infrastructure, Tools and methods Good exposure in Functional safety, cyber security p…","https://www.adzuna.in/details/5313131419?utm_medium=api&utm_source=c8890522","12.9881567","77.6226000"
"Cybersecurity Architect - Product Security","Orbcomm","India","2025-07-21T02:35:07Z","IT Jobs","Join Us as a Cybersecurity Architect! Are you ready to make a significant impact in an innovative environment? At ORBCOMM, we’re on the hunt for a passionate Cyber Security Architect who thrives in a fast-paced, agile setting. We want you to transform your ideas into action and drive our mission forward! As a key member of our cybersecurity team, you’ll collaborate closely with engineering and corporate IT functions, lead risk assessments, and ensure our products comply with global security sta…","https://www.adzuna.in/details/5313929983?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Architect","UKG ","Noida, Ghaziabad","2025-07-05T02:24:11Z","IT Jobs","UKG is looking to hire a Software Architect to lead in designing and delivering next generation and transformational architectural designs that yield superior functional, scalable, resilient, adaptable, performant, and secure offerings and component services at UKG. They will establish the starting point for transformational architectural decisions, patterns, and practices, with revolutionary architectural outcomes of performance, scale, security, and delivery that will shape how new software a…","https://www.adzuna.in/land/ad/5285832044?se=4K4mPb1n8BGKI6JUBKSKRg&utm_medium=api&utm_source=c8890522&v=7C82589F95F7E180A0E8EAE182F584E31818FD29","28.56579","77.3225"
"Fullstack Developer","IBM","Bangalore, Karnataka","2025-07-13T10:38:22Z","IT Jobs","Introduction A career in IBM Software means you'll be part of a team that transforms our customer's challenges into solutions. Seeking new possibilities and always staying curious, we are a team dedicated to creating the world's leading AI-powered, cloud-native software solutions for our customers. Our renowned legacy creates endless global opportunities for our IBMers, so the door is always open for those who want to grow their career. We are seeking a skilled Full stack developer to join our …","https://www.adzuna.in/land/ad/5300568086?se=4K4mPb1n8BGKI6JUBKSKRg&utm_medium=api&utm_source=c8890522&v=295FE289C64ABF5C328443FE01E7A800FF02E01C","12.95703","77.59837"
"Director Software Engineering, ITC","Nike","Karnataka, India","2025-06-24T23:43:28Z","IT Jobs","The Product Innovation and Consumer Creation team provides the foundation for how we make Nike product; from innovation, to design, development, line planning, and merchandising. We build the tools and enable Nike to keep pace with consumers and stay ahead of what they want. Who are we looking for: We are looking for a Director of Software Engineering to lead teams that build and develop web experiences, core platform APIs leveraging AI/ML for Nike's Merchandising functions. This role will need…","https://www.adzuna.in/land/ad/5266062691?se=4K4mPb1n8BGKI6JUBKSKRg&utm_medium=api&utm_source=c8890522&v=582F89149F5B63CE02AE383CF40A00B2BC178D75","14.325172","76.227524"
"Apps Development Sr Manager - C13","Citigroup","Pune, Maharashtra","2025-07-13T10:38:09Z","IT Jobs","The Applications Development Senior Manager is a senior management level position responsible for accomplishing results through the management of a team or department in an effort to establish and implement new or revised application systems and programs in coordination with the Technology team. The overall objective of this role is to drive applications systems analysis and programming activities. Responsibilities: Manage one or more Applications Development teams in an effort to accomplish es…","https://www.adzuna.in/land/ad/5300567498?se=4K4mPb1n8BGKI6JUBKSKRg&utm_medium=api&utm_source=c8890522&v=8D02A7EA577F2C9DF9D03D5095311E88C0D9551F","18.5062","73.84735"
"Lead Cybersecurity Architect - Product Security","JPMorganChase","Mumbai, Maharashtra","2025-07-20T02:42:08Z","IT Jobs","Description Join one of the world's most influential companies and leverage your skills in cybersecurity to have a real impact on the financial industry. As a Lead Cybersecurity Architect at JPMorgan Chase within the Cybersecurity & Tech Controls team, you are an integral part of a team that works to develop high-quality cybersecurity solutions for various software applications on modern cloud-based technologies. As a core technical contributor, you are responsible for carrying out critical cyb…","https://www.adzuna.in/details/5312894102?utm_medium=api&utm_source=c8890522","19.00821","72.84415"
"Sr Advanced Software Engr","Honeywell","Bangalore, Karnataka","2025-07-20T12:00:48Z","IT Jobs","We are seeking a highly Skilled Senior Advanced Software Engineer with a strong full-stack development background in .Net and angular to join our innovative engineering team. With over 10 years of experience, you will be developing complex software solutions and drive technological advancements within our organization. Key Responsibilities - Design and implement robust, scalable, and maintainable applications using .NET/.NET Core for the backend and Angular for the frontend. - Extensive hands-o…","https://www.adzuna.in/land/ad/5313258902?se=4K4mPb1n8BGKI6JUBKSKRg&utm_medium=api&utm_source=c8890522&v=E936CA6F3C4C88D7FB4609501D5351F874785EBE","12.95703","77.59837"
