"Title","Company","Location","Created","Category","Description","URL","Latitude","Longitude"
"Solar Site Engineer","Heliopath Solar Technologies","Shevgaon, Ahmednagar","2025-07-07T09:14:53Z","Engineering Jobs","Company Description Heliopath Solar Technologies is a leading provider of solar rooftop and ground mounted services across India, with headquarters in Vadodara, Gujarat. With a global vision in solar power development, we help our customers, partners, and communities harness solar energy in a simplified way to make their future more vibrant and sustainable. Our focus on innovation and renewable energy solutions ensures efficient and effective solar power projects. Role Description This is a ful…","https://www.adzuna.in/details/5289687813?utm_medium=api&utm_source=c8890522","19.31985","75.2366"
"Avionics Manager","Dhruva Space","Hyderabad, Telangana","2025-07-07T09:14:41Z","Engineering Jobs","Role overview and responsibilities: Dhruva Space is seeking an Avionics Manager to take a leadership role in the design, analysis, testing, and management of electrical power systems for satellite and space missions. The ideal candidate will be responsible for developing the Electrical Power Subsystem (EPS) for satellites, spacecraft, or other space-bound platforms, ensuring that systems meet stringent reliability, efficiency, and durability standards for long-duration missions. This role invol…","https://www.adzuna.in/details/5289687252?utm_medium=api&utm_source=c8890522","17.40275","78.50806"
"BESS Electrical Design & Testing (BESS Industry)","DCS Group","Gurgaon, Haryana","2025-07-03T20:43:22Z","Engineering Jobs","Electric Industry Profile - Electrical Engineer Qualification - B.Tech / M.Tech - Electrical Experience- Min. 5  yrs in the same industry ( power electronics design, development, or applications. with hands-on experience with electrical design, power distribution systems, control systems, and testing. Familiarity with industry-standard tools like MATLAB/Simulink, PSpice, or LTSpice for circuit simulation.) (Proficiency in electrical design software (e.g., AutoCAD Electrical, MATLAB, ETAP, PSpic…","https://www.adzuna.in/details/5281932922?utm_medium=api&utm_source=c8890522","28.323996","76.983738"
"Battery Electrical Engg (Design & Testing)","DCS Group","Gurgaon, Haryana","2025-07-18T01:15:08Z","Engineering Jobs","Electric Industry Profile - Electrical Engineer Qualification - B.Tech / M.Tech - Electrical Experience- Min. 5  yrs in the same industry ( power electronics design, development, or applications. with hands-on experience with electrical design, power distribution systems, control systems, and testing. Familiarity with industry-standard tools like MATLAB/Simulink, PSpice, or LTSpice for circuit simulation.) (Proficiency in electrical design software (e.g., AutoCAD Electrical, MATLAB, ETAP, PSpic…","https://www.adzuna.in/details/5308438801?utm_medium=api&utm_source=c8890522","28.323996","76.983738"
"BESS Electrical Design & Testing (BESS Industry)","DCS Group","Gurgaon, Haryana","2025-07-05T21:29:08Z","Engineering Jobs","Electric Industry Profile - Electrical Engineer Qualification - B.Tech / M.Tech - Electrical Experience- Min. 5  yrs in the same industry ( power electronics design, development, or applications. with hands-on experience with electrical design, power distribution systems, control systems, and testing. Familiarity with industry-standard tools like MATLAB/Simulink, PSpice, or LTSpice for circuit simulation.) (Proficiency in electrical design software (e.g., AutoCAD Electrical, MATLAB, ETAP, PSpic…","https://www.adzuna.in/details/5287898822?utm_medium=api&utm_source=c8890522","28.323996","76.983738"
"Battery Electrical Engg (Design & Testing)","DCS Group","Gurgaon, Haryana","2025-07-19T22:55:28Z","Engineering Jobs","Electric Industry Profile - Electrical Engineer Qualification - B.Tech / M.Tech - Electrical Experience- Min. 5  yrs in the same industry ( power electronics design, development, or applications. with hands-on experience with electrical design, power distribution systems, control systems, and testing. Familiarity with industry-standard tools like MATLAB/Simulink, PSpice, or LTSpice for circuit simulation.) (Proficiency in electrical design software (e.g., AutoCAD Electrical, MATLAB, ETAP, PSpic…","https://www.adzuna.in/details/5312311880?utm_medium=api&utm_source=c8890522","28.323996","76.983738"
"Trainer - Electrical Engg.","LT-Larsen & Toubro Limited","Chennai, Tamil Nadu","2025-07-20T02:37:10Z","Engineering Jobs","BU: EDRC – Renewables IC Job Role: Lead – Competency Development & Training Location: Chennai Reports to (Job – Role) : Head Engineering: Power System, R&D and Competency Development Reportee (Job – Role) : Trainers – Electrical and Civil Engg Minimum Qualification : B. E./B. Tech in EEE / M.E. /MTech Experience :15 – 20 years, (Experience Shall be Substation Engineering & Design (AIS & GIS) up to EHV level. Exposure to International Projects is essential. Knowledge & Experience on Renewable PV…","https://www.adzuna.in/details/5312886446?utm_medium=api&utm_source=c8890522","13.06041","80.24963"
"Service Engineer – Genset Electrical","Goel Power Engineers","Mumbai, Maharashtra","2025-07-18T01:15:14Z","Engineering Jobs","Company Overview Goel Power Engineers LLP, founded in 1965, is a prominent manufacturer of gensets headquartered in Mumbai, India. We are a renowned provider of high-quality diesel generator sets, specializing in sophisticated projects within the electrical industry. Our team comprises highly skilled professionals whose expertise has advanced our market presence. As a trusted manufacturer, we offer a range of products such as diesel generator sets and diesel power generators, driven by in-depth…","https://www.adzuna.in/details/5308439207?utm_medium=api&utm_source=c8890522","19.00821","72.84415"
"Technical Lead Embedded Control Firmware","SolarEdge","India","2025-07-25T06:43:47Z","Engineering Jobs","Are you ready to power the future? At SolarEdge (NASDAQ: SEDG), we're a global leader in smart energy technology, with over 4,000 employees, offices in 34 countries, and millions of installations worldwide. Our innovative solutions include solar inverters, battery storage, backup systems, EV charging, and AI-based energy management. We're committed to making clean, green energy the primary power source for homes, businesses, and beyond. With the growing demand for electricity, the need for smar…","https://www.adzuna.in/details/5321069302?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Principal Consultant - Power System","WSP","Bangalore, Karnataka","2025-07-01T20:33:14Z","Engineering Jobs","Description To contribute to the technical development and delivery of studies and analysis within the power systems team: To deliver consulting work related to the various types of power systems studies and analysis, for example Static studies such as load flow, fault level and reactive compensation; Dynamic studies such as stability studies; Harmonic analysis/ power quality/ filter design; Transient overvoltage/ Insultation coordination; Control interaction studies; Earthing studies; and/or P…","https://www.adzuna.in/details/5277831724?utm_medium=api&utm_source=c8890522","12.9881567","77.6226000"
