"Title","Company","Location","Created","Category","URL","Latitude","Longitude"
"IT Procurement Specialist","Green clover","Mumbai, Maharashtra","2025-06-06T20:42:25Z","Retail Jobs","https://www.adzuna.in/details/5236360079?utm_medium=api&utm_source=c8890522","19.00821","72.84415"
"Senior Procurement Specialist","Lutech Resources","Chennai, Tamil Nadu","2025-05-22T01:51:15Z","Retail Jobs","https://www.adzuna.in/details/5209853447?utm_medium=api&utm_source=c8890522","13.06041","80.24963"
"IT - Procurement Specialist","SYSTRA","Palwal, Faridabad","2025-03-29T00:41:49Z","IT Jobs","https://www.adzuna.in/details/5116459401?utm_medium=api&utm_source=c8890522","28.28015","77.27699"
"BOM Procurement Specialist","Tata Electronics","Krishnagiri, Tamil Nadu","2025-06-28T07:01:22Z","Engineering Jobs","https://www.adzuna.in/details/5272410130?utm_medium=api&utm_source=c8890522","12.5152075","78.0093769"
"BOM Procurement Specialist","Tata Electronics","Kolar, Karnataka","2025-06-28T07:00:12Z","Engineering Jobs","https://www.adzuna.in/details/5272408441?utm_medium=api&utm_source=c8890522","12.81665","78.2018"
"Senior Procurement Specialist","WSP in India","Noida, Ghaziabad","2025-07-07T09:12:54Z","Logistics & Warehouse Jobs","https://www.adzuna.in/details/5289682865?utm_medium=api&utm_source=c8890522","28.56579","77.3225"
"Global Procurement Specialist","Novus International Careers","India","2025-06-30T03:17:40Z","Logistics & Warehouse Jobs","https://www.adzuna.in/details/5275194565?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"IT Procurement Specialist","Ahead","India","2025-07-01T20:24:46Z","IT Jobs","https://www.adzuna.in/details/5277822539?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Senior Procurement Specialist","Corteva Agriscience","Hyderabad, Telangana","2025-07-07T21:10:56Z","Retail Jobs","https://www.adzuna.in/details/5290347552?utm_medium=api&utm_source=c8890522","17.40275","78.50806"
"Senior Procurement Specialist","Tekion","Bangalore, Karnataka","2025-02-16T17:01:13Z","IT Jobs","https://www.adzuna.in/details/5052049953?utm_medium=api&utm_source=c8890522","12.95703","77.59837"
"Senior Procurement Specialist","Reliance Industries Limited","Mumbai, Maharashtra","2025-06-25T10:02:48Z","Engineering Jobs","https://www.adzuna.in/details/5266675766?utm_medium=api&utm_source=c8890522","19.00821","72.84415"
"SVS Center Operations Specialist, Indirect Procurement","Teva Pharmaceuticals","Mumbai, Maharashtra","2025-05-29T23:25:59Z","IT Jobs","https://www.adzuna.in/land/ad/5222030106?se=Xs3XWpZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=C6F28D364D59EC9592074C2D9533CAFEAB93EF62","19.00821","72.84415"
"OPRC10 - Associate Procurement Specialist","Kellogg Brown & Root Engineering & Construction India","India","2025-06-29T03:18:41Z","Retail Jobs","https://www.adzuna.in/details/5274107655?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Electronic Components Procurement Specialist","Talentnauts","India","2025-01-06T16:33:52Z","Engineering Jobs","https://www.adzuna.in/details/4999503772?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"IT Operations and Procurement Specialist","Deepak Group Co","Vadodara, Gujarat","2025-06-25T10:04:25Z","IT Jobs","https://www.adzuna.in/details/5266676350?utm_medium=api&utm_source=c8890522","22.2891","73.1924"
"Supply Planning & Procurement Specialist","Corning","Gurgaon, Haryana","2025-05-02T13:16:20Z","Logistics & Warehouse Jobs","https://www.adzuna.in/details/5175669559?utm_medium=api&utm_source=c8890522","28.323996","76.983738"
